#{"t_start": 1771225423.6887798, "env_id": "None"}
r,l,t
-400.23993,374,2124.103492
-400.85034,435,2125.759347
-263.73233,380,2133.556232
-278.96722,380,2136.453456
-293.2926,291,2140.153443
-291.0188,329,2141.353364
-272.6907,450,2143.242823
-233.73979,448,2147.676994
-401.0901,359,2149.209161
-235.64272,491,2158.872572
-401.0902,409,2162.257015
-339.07654,382,2163.396973
-401.89053,489,2164.993131
-400.49042,399,2165.349737
-401.61008,461,2171.097795
-293.57297,373,2172.330531
-230.74702,509,2179.515836
-337.04538,357,2184.890017
-395.07492,375,2187.709888
-402.73257,623,2195.329199
-400.61014,411,2195.635718
-294.36908,437,2196.505568
-172.353,560,2198.203527
-403.2921,679,2209.543489
-309.44846,333,2211.839591
-288.96664,318,2214.354416
-399.73035,323,2223.545523
-370.12347,331,2223.847179
-259.46164,398,2228.455201
-187.15622,754,2231.18403
-399.78033,328,2232.69363
-400.97018,447,2233.965227
-351.53204,262,2242.006856
-371.457,513,2244.734443
-294.53418,462,2245.767913
-257.41647,270,2252.606463
-236.03835,399,2256.884941
-188.0149,493,2257.412478
-323.54745,364,2266.065709
-401.5399,504,2268.58801
-325.91046,376,2270.359277
-402.1413,564,2270.567942
-401.02054,452,2274.544505
-401.54025,504,2285.592572
-383.28998,362,2290.83611
-138.47041,543,2290.836174
-309.66455,545,2291.408926
-389.6613,368,2292.61025
-370.7911,432,2292.852327
-200.49185,477,2300.645368
-305.69965,246,2308.268423
-400.92038,392,2311.352094
-341.81686,291,2314.46191
-308.86508,371,2317.584501
-246.11197,352,2318.487367
-309.0823,383,2319.279406
-403.8524,735,2323.515177
-400.06064,356,2325.549462
-305.0617,272,2326.663504
-260.33368,308,2337.268367
-169.78342,479,2349.686354
-228.69225,402,2351.594306
-179.48515,510,2354.398394
-239.37231,342,2354.821071
-226.45088,403,2356.357431
-401.36047,486,2356.715809
-242.13188,411,2359.772498
-304.24973,378,2367.511889
-399.99005,349,2371.803544
-230.59409,348,2376.492899
-282.81967,400,2380.46188
-396.30627,490,2383.806428
-385.35995,366,2384.546902
-217.35634,428,2384.853588
-294.8241,463,2387.159254
-243.79245,346,2391.979569
-400.53052,403,2398.499548
-348.78488,382,2401.604326
-400.26038,376,2404.649066
-246.23233,355,2406.862676
-305.122,364,2414.840142
-247.42468,472,2417.16279
-371.94443,528,2418.262532
-189.14317,584,2422.740801
-231.68614,352,2428.066851
-283.68747,470,2431.677634
-345.64,564,2434.129805
-305.86932,324,2434.93202
-273.90164,364,2440.076194
-396.81976,527,2441.111508
-395.11996,345,2444.419268
-401.39102,489,2449.774064
-400.29044,379,2457.23246
